Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
guides/writing-extensions.adoc.po, 607, 609, 12319, 12324, 1%
guides/qute-reference.adoc.po, 778, 785, 11680, 11689, 1%
guides/native-reference.adoc.po, 304, 310, 8992, 9028, 1%
guides/security-oidc-code-flow-authentication.adoc.po, 322, 335, 7885, 7973, 2%
guides/resteasy-reactive.adoc.po, 467, 474, 7036, 7057, 1%
guides/deploying-to-kubernetes.adoc.po, 352, 357, 5888, 5893, 1%
guides/maven-tooling.adoc.po, 265, 273, 5357, 5381, 1%
guides/hibernate-orm.adoc.po, 283, 294, 5317, 5420, 2%
guides/security-oidc-auth0-tutorial.adoc.po, 195, 199, 5151, 5155, 1%
guides/rest-client-reactive.adoc.po, 264, 278, 4774, 4871, 2%
guides/cdi-reference.adoc.po, 227, 232, 4216, 4226, 1%
guides/hibernate-search-orm-elasticsearch.adoc.po, 233, 252, 4010, 4115, 3%
guides/pulsar.adoc.po, 200, 237, 3906, 4228, 8%
guides/datasource.adoc.po, 332, 336, 3874, 3878, 1%
guides/config-reference.adoc.po, 217, 219, 3667, 3670, 1%
guides/security-oidc-bearer-token-authentication.adoc.po, 162, 175, 3619, 3680, 2%
guides/gradle-tooling.adoc.po, 170, 176, 3409, 3446, 2%
guides/cassandra.adoc.po, 156, 167, 3248, 3323, 3%
guides/building-my-first-extension.adoc.po, 172, 176, 3233, 3237, 1%
guides/kafka.adoc.po, 150, 606, 3213, 11658, 73%
guides/security-openid-connect-client-reference.adoc.po, 147, 156, 3116, 3152, 2%
guides/redis-reference.adoc.po, 203, 210, 3007, 3091, 3%
guides/security-openid-connect-providers.adoc.po, 154, 156, 2978, 2980, 1%
guides/security-openid-connect-dev-services.adoc.po, 108, 112, 2962, 2970, 1%
guides/logging.adoc.po, 299, 304, 2958, 2963, 1%
guides/cache.adoc.po, 154, 162, 2956, 3011, 2%
guides/virtual-threads.adoc.po, 141, 143, 2948, 2950, 1%
guides/infinispan-client-reference.adoc.po, 175, 185, 2877, 2906, 1%
guides/http-reference.adoc.po, 241, 246, 2815, 2821, 1%
guides/cdi-integration.adoc.po, 174, 174, 2805, 2805, 0%
guides/security-authorize-web-endpoints-reference.adoc.po, 156, 166, 2798, 2861, 3%
guides/dev-ui.adoc.po, 215, 219, 2744, 2748, 1%
guides/kafka-streams.adoc.po, 119, 132, 2441, 2561, 5%
guides/smallrye-graphql.adoc.po, 164, 178, 2368, 2444, 4%
guides/resteasy.adoc.po, 109, 154, 2280, 2728, 17%
guides/cdi.adoc.po, 128, 130, 2234, 2236, 1%
guides/security-openid-connect-multitenancy.adoc.po, 124, 136, 2228, 2263, 2%
guides/reactive-routes.adoc.po, 155, 165, 2186, 2217, 2%
guides/security-authentication-mechanisms.adoc.po, 131, 166, 2106, 2345, 11%
guides/doc-reference.adoc.po, 206, 293, 2105, 2304, 9%
guides/rabbitmq-reference.adoc.po, 200, 251, 2049, 2419, 16%
guides/doc-contribute-docs-howto.adoc.po, 140, 142, 2037, 2039, 1%
guides/security-webauthn.adoc.po, 94, 110, 2019, 2151, 7%
guides/telemetry-micrometer.adoc.po, 175, 198, 2018, 2494, 20%
guides/software-transactional-memory.adoc.po, 41, 45, 1951, 1958, 1%
guides/jreleaser.adoc.po, 61, 63, 1950, 1954, 1%
guides/mutiny-primer.adoc.po, 124, 125, 1918, 1919, 1%
guides/deploying-to-openshift.adoc.po, 138, 143, 1898, 1906, 1%
guides/reactive-sql-clients.adoc.po, 162, 167, 1875, 1883, 1%
guides/security-keycloak-authorization.adoc.po, 95, 115, 1875, 2024, 8%
guides/scheduler-reference.adoc.po, 95, 98, 1837, 1841, 1%
guides/cli-tooling.adoc.po, 144, 173, 1762, 2163, 19%
guides/validation.adoc.po, 102, 116, 1734, 1821, 5%
guides/extension-codestart.adoc.po, 132, 137, 1733, 1758, 2%
guides/quarkus-reactive-architecture.adoc.po, 65, 66, 1657, 1658, 1%
guides/security-jwt-build.adoc.po, 104, 115, 1649, 1669, 2%
guides/gcp-functions.adoc.po, 91, 96, 1615, 1635, 2%
guides/rest-data-panache.adoc.po, 106, 109, 1609, 1612, 1%
guides/smallrye-health.adoc.po, 81, 95, 1603, 1678, 5%
guides/resteasy-client.adoc.po, 84, 98, 1599, 1695, 6%
guides/kafka-schema-registry-avro.adoc.po, 79, 91, 1574, 1652, 5%
guides/smallrye-fault-tolerance.adoc.po, 72, 84, 1557, 1629, 5%
guides/duplicated-context.adoc.po, 71, 74, 1535, 1539, 1%
guides/funqy-knative-events.adoc.po, 65, 68, 1499, 1512, 1%
guides/container-image.adoc.po, 74, 76, 1460, 1462, 1%
guides/security-getting-started-tutorial.adoc.po, 93, 101, 1452, 1469, 2%
guides/mailer-reference.adoc.po, 93, 98, 1448, 1470, 2%
guides/grpc-service-implementation.adoc.po, 107, 108, 1446, 1447, 1%
guides/class-loading-reference.adoc.po, 62, 64, 1436, 1440, 1%
guides/deploying-to-google-cloud.adoc.po, 85, 88, 1414, 1420, 1%
guides/security-customization.adoc.po, 74, 77, 1390, 1393, 1%
guides/databases-dev-services.adoc.po, 78, 79, 1371, 1373, 1%
guides/building-native-image.adoc.po, 62, 211, 1360, 4032, 67%
guides/getting-started-testing.adoc.po, 56, 236, 1350, 5114, 74%
guides/writing-native-applications-tips.adoc.po, 43, 106, 1324, 2390, 45%
guides/vertx-reference.adoc.po, 103, 243, 1321, 3172, 59%
guides/platform.adoc.po, 51, 52, 1320, 1321, 1%
guides/security-jwt.adoc.po, 95, 307, 1317, 4225, 69%
guides/security-openid-connect-client.adoc.po, 81, 95, 1312, 1390, 6%
guides/performance-measure.adoc.po, 79, 82, 1297, 1304, 1%
guides/doc-create-tutorial.adoc.po, 94, 96, 1296, 1300, 1%
guides/smallrye-graphql-client.adoc.po, 46, 58, 1288, 1362, 6%
guides/extension-registry-user.adoc.po, 65, 65, 1283, 1283, 0%
guides/opentelemetry.adoc.po, 110, 156, 1276, 1839, 31%
guides/funqy-gcp-functions.adoc.po, 73, 80, 1274, 1306, 3%
guides/telemetry-opentracing-to-otel-tutorial.adoc.po, 114, 118, 1272, 1278, 1%
guides/stork-kubernetes.adoc.po, 69, 77, 1263, 1284, 2%
guides/getting-started-dev-services.adoc.po, 79, 87, 1250, 1295, 4%
guides/kafka-schema-registry-json-schema.adoc.po, 63, 74, 1248, 1318, 6%
guides/native-and-ssl.adoc.po, 87, 95, 1242, 1297, 5%
guides/openapi-swaggerui.adoc.po, 80, 96, 1212, 1301, 7%
guides/hibernate-reactive-panache.adoc.po, 39, 152, 1210, 3010, 60%
guides/transaction.adoc.po, 47, 102, 1205, 2355, 49%
guides/qute.adoc.po, 80, 85, 1161, 1202, 4%
guides/resteasy-reactive-migration.adoc.po, 92, 95, 1154, 1157, 1%
guides/kubernetes-client.adoc.po, 52, 57, 1122, 1136, 2%
guides/security-oidc-bearer-token-authentication-tutorial.adoc.po, 78, 92, 1112, 1189, 7%
guides/extension-metadata.adoc.po, 53, 55, 1100, 1102, 1%
guides/elasticsearch.adoc.po, 61, 80, 1076, 1218, 12%
guides/spring-data-jpa.adoc.po, 70, 91, 1076, 1222, 12%
guides/spring-security.adoc.po, 79, 107, 1069, 1236, 14%
guides/security-oauth2.adoc.po, 60, 79, 1068, 1204, 12%
guides/hibernate-reactive.adoc.po, 67, 75, 1067, 1114, 5%
guides/kafka-reactive-getting-started.adoc.po, 46, 77, 1034, 1271, 19%
guides/quartz.adoc.po, 72, 90, 1010, 1122, 10%
guides/pulsar-getting-started.adoc.po, 47, 76, 1007, 1218, 18%
guides/command-mode-reference.adoc.po, 52, 60, 1001, 1049, 5%
guides/management-interface-reference.adoc.po, 60, 61, 984, 985, 1%
guides/scripting.adoc.po, 60, 71, 971, 1037, 7%
guides/_includes/smallrye-pulsar-consumer.adoc.po, 114, 119, 970, 975, 1%
guides/stork.adoc.po, 59, 69, 953, 981, 3%
guides/spring-data-rest.adoc.po, 88, 110, 947, 1094, 14%
guides/deploying-to-heroku.adoc.po, 59, 63, 946, 954, 1%
guides/lifecycle.adoc.po, 53, 67, 944, 1032, 9%
guides/context-propagation.adoc.po, 66, 73, 930, 975, 5%
guides/lra.adoc.po, 18, 22, 930, 942, 2%
guides/mongodb-panache.adoc.po, 44, 199, 921, 3814, 76%
guides/funqy-aws-lambda.adoc.po, 42, 78, 917, 1343, 32%
guides/spring-di.adoc.po, 59, 83, 915, 1072, 15%
