Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
guides/qute-reference.adoc.po, 857, 867, 13036, 13048, 1%
guides/writing-extensions.adoc.po, 646, 649, 12741, 12748, 1%
guides/native-reference.adoc.po, 344, 350, 10225, 10261, 1%
guides/security-oidc-code-flow-authentication.adoc.po, 400, 413, 9525, 9613, 1%
guides/rest.adoc.po, 489, 496, 7735, 7756, 1%
guides/deploying-to-kubernetes.adoc.po, 365, 370, 6066, 6071, 1%
guides/tls-registry-reference.adoc.po, 340, 341, 6062, 6063, 1%
guides/hibernate-orm.adoc.po, 319, 330, 6009, 6112, 2%
guides/websockets-next-reference.adoc.po, 297, 301, 5669, 5674, 1%
guides/maven-tooling.adoc.po, 275, 283, 5641, 5665, 1%
guides/cdi-reference.adoc.po, 288, 293, 5598, 5608, 1%
guides/rest-client.adoc.po, 300, 315, 5462, 5561, 2%
guides/security-oidc-auth0-tutorial.adoc.po, 195, 199, 5152, 5156, 1%
guides/security-oidc-bearer-token-authentication.adoc.po, 219, 233, 4624, 4687, 2%
guides/hibernate-search-orm-elasticsearch.adoc.po, 268, 286, 4445, 4545, 3%
guides/datasource.adoc.po, 349, 353, 4146, 4150, 1%
guides/pulsar.adoc.po, 204, 240, 3969, 4266, 7%
guides/kafka.adoc.po, 182, 623, 3919, 11913, 68%
guides/config-reference.adoc.po, 229, 231, 3912, 3915, 1%
guides/security-jwt.adoc.po, 268, 336, 3832, 4310, 12%
guides/hibernate-search-standalone-elasticsearch.adoc.po, 230, 248, 3803, 3903, 3%
guides/security-authorize-web-endpoints-reference.adoc.po, 205, 215, 3786, 3849, 2%
guides/gradle-tooling.adoc.po, 202, 208, 3652, 3689, 2%
guides/security-openid-connect-client-reference.adoc.po, 182, 190, 3650, 3684, 1%
guides/redis-reference.adoc.po, 224, 231, 3560, 3644, 3%
guides/building-my-first-extension.adoc.po, 172, 176, 3252, 3256, 1%
guides/cassandra.adoc.po, 156, 167, 3250, 3325, 3%
guides/security-authentication-mechanisms.adoc.po, 190, 224, 3167, 3403, 7%
guides/http-reference.adoc.po, 270, 275, 3156, 3162, 1%
guides/logging.adoc.po, 313, 318, 3147, 3152, 1%
guides/security-openid-connect-providers.adoc.po, 159, 161, 3141, 3143, 1%
guides/cdi-integration.adoc.po, 189, 189, 3099, 3099, 0%
guides/infinispan-client-reference.adoc.po, 192, 201, 3090, 3105, 1%
guides/security-openid-connect-dev-services.adoc.po, 116, 120, 3062, 3070, 1%
guides/security-openid-connect-multitenancy.adoc.po, 171, 183, 3062, 3097, 2%
guides/virtual-threads.adoc.po, 147, 149, 3053, 3055, 1%
guides/dev-ui.adoc.po, 229, 233, 3030, 3034, 1%
guides/cache.adoc.po, 155, 163, 3014, 3069, 2%
guides/messaging.adoc.po, 159, 170, 2884, 2961, 3%
guides/security-webauthn.adoc.po, 124, 140, 2794, 2926, 5%
guides/kafka-streams.adoc.po, 119, 132, 2443, 2563, 5%
guides/scheduler-reference.adoc.po, 130, 134, 2431, 2436, 1%
guides/security-keycloak-authorization.adoc.po, 177, 189, 2357, 2408, 3%
guides/smallrye-graphql.adoc.po, 163, 177, 2338, 2414, 4%
guides/resteasy.adoc.po, 110, 155, 2309, 2757, 17%
guides/cdi.adoc.po, 129, 131, 2280, 2282, 1%
guides/reactive-routes.adoc.po, 155, 165, 2192, 2223, 2%
guides/smallrye-fault-tolerance.adoc.po, 108, 120, 2151, 2223, 4%
guides/doc-reference.adoc.po, 206, 293, 2105, 2304, 9%
guides/telemetry-micrometer.adoc.po, 181, 204, 2097, 2573, 19%
guides/rabbitmq-reference.adoc.po, 203, 254, 2084, 2454, 16%
guides/doc-contribute-docs-howto.adoc.po, 140, 142, 2037, 2039, 1%
guides/deploying-to-openshift.adoc.po, 164, 168, 2012, 2019, 1%
guides/software-transactional-memory.adoc.po, 41, 45, 1951, 1958, 1%
guides/jreleaser.adoc.po, 61, 63, 1950, 1954, 1%
guides/mutiny-primer.adoc.po, 124, 125, 1921, 1922, 1%
guides/reactive-sql-clients.adoc.po, 170, 179, 1893, 1941, 3%
guides/validation.adoc.po, 105, 119, 1874, 1961, 5%
guides/extension-codestart.adoc.po, 140, 145, 1839, 1864, 2%
guides/cli-tooling.adoc.po, 144, 173, 1762, 2163, 19%
guides/building-native-image.adoc.po, 76, 220, 1737, 4233, 59%
guides/mailer-reference.adoc.po, 110, 115, 1713, 1735, 2%
guides/security-openid-connect-client.adoc.po, 100, 114, 1699, 1777, 5%
guides/smallrye-health.adoc.po, 84, 98, 1692, 1767, 5%
guides/container-image.adoc.po, 85, 87, 1669, 1671, 1%
guides/quarkus-reactive-architecture.adoc.po, 65, 66, 1659, 1660, 1%
guides/security-jwt-build.adoc.po, 126, 138, 1656, 1677, 2%
guides/resteasy-client.adoc.po, 85, 100, 1630, 1728, 6%
guides/jfr.adoc.po, 82, 91, 1600, 1634, 3%
guides/rest-data-panache.adoc.po, 108, 112, 1593, 1597, 1%
guides/vertx-reference.adoc.po, 125, 258, 1575, 3298, 53%
guides/kafka-schema-registry-avro.adoc.po, 79, 91, 1573, 1651, 5%
guides/security-getting-started-tutorial.adoc.po, 108, 116, 1567, 1584, 2%
guides/writing-native-applications-tips.adoc.po, 54, 107, 1552, 2380, 35%
guides/gcp-functions.adoc.po, 87, 92, 1547, 1567, 2%
guides/duplicated-context.adoc.po, 71, 74, 1536, 1540, 1%
guides/drools.adoc.po, 61, 68, 1519, 1539, 2%
guides/funqy-knative-events.adoc.po, 65, 68, 1499, 1512, 1%
guides/security-customization.adoc.po, 77, 80, 1470, 1473, 1%
guides/class-loading-reference.adoc.po, 63, 65, 1465, 1469, 1%
guides/grpc-service-implementation.adoc.po, 107, 108, 1446, 1447, 1%
guides/getting-started-testing.adoc.po, 56, 233, 1443, 4904, 71%
guides/deploying-to-google-cloud.adoc.po, 86, 89, 1436, 1442, 1%
guides/openapi-swaggerui.adoc.po, 92, 108, 1431, 1520, 6%
guides/cyclonedx.adoc.po, 66, 68, 1430, 1432, 1%
guides/extension-metadata.adoc.po, 72, 74, 1420, 1422, 1%
guides/platform.adoc.po, 55, 56, 1419, 1420, 1%
guides/databases-dev-services.adoc.po, 81, 82, 1416, 1418, 1%
guides/hibernate-reactive-panache.adoc.po, 49, 153, 1399, 3012, 54%
guides/opentelemetry-metrics.adoc.po, 104, 122, 1371, 1490, 8%
guides/smallrye-graphql-client.adoc.po, 49, 62, 1370, 1445, 6%
guides/web.adoc.po, 73, 74, 1366, 1369, 1%
guides/extension-maturity-matrix.adoc.po, 62, 65, 1354, 1358, 1%
guides/qute.adoc.po, 91, 96, 1332, 1373, 3%
guides/opentelemetry-tracing.adoc.po, 108, 143, 1323, 1719, 24%
guides/opentelemetry.adoc.po, 123, 135, 1308, 1333, 2%
guides/performance-measure.adoc.po, 79, 82, 1297, 1304, 1%
guides/doc-create-tutorial.adoc.po, 94, 96, 1296, 1300, 1%
guides/management-interface-reference.adoc.po, 75, 77, 1286, 1306, 2%
guides/native-and-ssl.adoc.po, 88, 96, 1284, 1339, 5%
guides/extension-registry-user.adoc.po, 65, 65, 1283, 1283, 0%
guides/telemetry-opentracing-to-otel-tutorial.adoc.po, 114, 118, 1278, 1284, 1%
guides/transaction.adoc.po, 49, 104, 1266, 2416, 48%
guides/stork-kubernetes.adoc.po, 69, 77, 1262, 1283, 2%
guides/getting-started-dev-services.adoc.po, 79, 87, 1250, 1295, 4%
guides/kafka-schema-registry-json-schema.adoc.po, 63, 74, 1247, 1317, 6%
guides/funqy-gcp-functions.adoc.po, 71, 78, 1226, 1258, 3%
guides/security-oidc-bearer-token-authentication-tutorial.adoc.po, 84, 98, 1210, 1287, 6%
guides/mongodb-panache.adoc.po, 54, 201, 1192, 3871, 70%
guides/rest-migration.adoc.po, 96, 97, 1191, 1192, 1%
guides/hibernate-reactive.adoc.po, 71, 79, 1144, 1191, 4%
guides/elasticsearch.adoc.po, 65, 84, 1143, 1285, 12%
guides/kubernetes-client.adoc.po, 51, 56, 1117, 1131, 2%
guides/testing-components.adoc.po, 57, 57, 1110, 1110, 0%
guides/grpc-generation-reference.adoc.po, 100, 100, 1099, 1099, 0%
guides/dev-services.adoc.po, 54, 56, 1098, 1100, 1%
guides/spring-data-jpa.adoc.po, 74, 95, 1092, 1238, 12%
guides/deploying-to-heroku.adoc.po, 67, 71, 1073, 1081, 1%
guides/spring-security.adoc.po, 79, 107, 1069, 1236, 14%
guides/security-oauth2.adoc.po, 60, 79, 1068, 1204, 12%
guides/kafka-getting-started.adoc.po, 48, 77, 1064, 1275, 17%
guides/centralized-log-management.adoc.po, 61, 65, 1059, 1064, 1%
guides/command-mode-reference.adoc.po, 55, 64, 1050, 1101, 5%
guides/scripting.adoc.po, 65, 75, 1046, 1099, 5%
guides/pulsar-getting-started.adoc.po, 47, 76, 1010, 1221, 18%
guides/conditional-extension-dependencies.adoc.po, 44, 45, 1005, 1008, 1%
guides/security-oidc-code-flow-authentication-tutorial.adoc.po, 66, 75, 995, 1045, 5%
guides/quartz.adoc.po, 71, 89, 994, 1106, 11%
guides/lifecycle.adoc.po, 54, 68, 992, 1080, 9%
guides/tests-with-coverage.adoc.po, 52, 59, 980, 992, 2%
guides/spring-data-rest.adoc.po, 89, 111, 978, 1125, 14%
guides/grpc-service-consumption.adoc.po, 68, 69, 973, 975, 1%
guides/_includes/smallrye-pulsar-consumer.adoc.po, 114, 119, 970, 975, 1%
guides/hibernate-orm-panache.adoc.po, 36, 151, 953, 2814, 67%
guides/stork.adoc.po, 59, 69, 952, 980, 3%
guides/security-openid-connect-client-registration.adoc.po, 52, 55, 944, 951, 1%
guides/context-propagation.adoc.po, 66, 73, 933, 978, 5%
guides/picocli.adoc.po, 53, 60, 931, 955, 3%
guides/lra.adoc.po, 18, 22, 930, 942, 2%
guides/funqy-aws-lambda.adoc.po, 42, 78, 917, 1343, 32%
guides/spring-di.adoc.po, 59, 83, 914, 1071, 15%
guides/config-extending-support.adoc.po, 63, 65, 901, 905, 1%
guides/aws-lambda.adoc.po, 36, 149, 896, 2947, 70%
guides/load-shedding-reference.adoc.po, 52, 54, 889, 891, 1%
guides/resteasy-client-multipart.adoc.po, 47, 61, 889, 986, 10%
guides/podman.adoc.po, 25, 25, 876, 876, 0%
guides/telemetry-micrometer-tutorial.adoc.po, 57, 66, 875, 957, 9%
guides/telemetry-micrometer-to-opentelemetry.adoc.po, 101, 104, 873, 884, 2%
guides/config-mappings.adoc.po, 60, 62, 863, 865, 1%
guides/ansible.adoc.po, 29, 30, 857, 858, 1%
guides/infinispan-dev-services.adoc.po, 49, 50, 836, 838, 1%
guides/credentials-provider.adoc.po, 50, 51, 834, 836, 1%
guides/appcds.adoc.po, 31, 31, 802, 802, 0%
guides/security-csrf-prevention.adoc.po, 40, 48, 801, 835, 5%
guides/grpc-getting-started.adoc.po, 49, 56, 797, 845, 6%
guides/kubernetes-config.adoc.po, 39, 43, 797, 810, 2%
guides/spring-web.adoc.po, 86, 115, 788, 968, 19%
guides/smallrye-metrics.adoc.po, 49, 56, 787, 794, 1%
guides/mongodb.adoc.po, 30, 112, 784, 1878, 59%
guides/rest-virtual-threads.adoc.po, 49, 55, 741, 760, 3%
guides/messaging-virtual-threads.adoc.po, 41, 44, 730, 736, 1%
guides/funqy-http.adoc.po, 38, 40, 727, 739, 2%
