Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
guides/writing-extensions.adoc.po, 606, 608, 12327, 12332, 1%
guides/qute-reference.adoc.po, 769, 776, 11493, 11502, 1%
guides/native-reference.adoc.po, 305, 311, 9050, 9086, 1%
guides/security-oidc-code-flow-authentication.adoc.po, 299, 321, 7546, 7848, 4%
guides/resteasy-reactive.adoc.po, 452, 459, 6794, 6815, 1%
guides/deploying-to-kubernetes.adoc.po, 352, 357, 5888, 5893, 1%
guides/maven-tooling.adoc.po, 265, 273, 5358, 5382, 1%
guides/security-oidc-auth0-tutorial.adoc.po, 193, 197, 5134, 5138, 1%
guides/hibernate-orm.adoc.po, 265, 276, 4941, 5044, 3%
guides/rest-client-reactive.adoc.po, 232, 246, 4310, 4407, 3%
guides/cdi-reference.adoc.po, 222, 228, 4150, 4162, 1%
guides/pulsar.adoc.po, 200, 237, 3928, 4250, 8%
guides/config-reference.adoc.po, 216, 218, 3616, 3619, 1%
guides/hibernate-search-orm-elasticsearch.adoc.po, 206, 225, 3527, 3632, 3%
guides/gradle-tooling.adoc.po, 170, 176, 3409, 3446, 2%
guides/cassandra.adoc.po, 156, 167, 3248, 3323, 3%
guides/building-my-first-extension.adoc.po, 172, 176, 3233, 3237, 1%
guides/datasource.adoc.po, 302, 306, 3166, 3170, 1%
guides/security-openid-connect-client-reference.adoc.po, 145, 154, 3082, 3118, 2%
guides/security-openid-connect-dev-services.adoc.po, 107, 111, 3056, 3064, 1%
guides/kafka.adoc.po, 130, 567, 3032, 10997, 73%
guides/logging.adoc.po, 300, 305, 2986, 2991, 1%
guides/virtual-threads.adoc.po, 141, 143, 2948, 2950, 1%
guides/cache.adoc.po, 153, 161, 2919, 2974, 2%
guides/infinispan-client-reference.adoc.po, 175, 185, 2877, 2906, 1%
guides/cdi-integration.adoc.po, 174, 174, 2857, 2857, 0%
guides/dev-ui.adoc.po, 214, 219, 2761, 2767, 1%
guides/http-reference.adoc.po, 240, 245, 2761, 2767, 1%
guides/redis-reference.adoc.po, 191, 198, 2726, 2810, 3%
guides/security-openid-connect-providers.adoc.po, 138, 140, 2504, 2506, 1%
guides/kafka-streams.adoc.po, 119, 132, 2441, 2561, 5%
guides/smallrye-graphql.adoc.po, 164, 178, 2368, 2444, 4%
guides/resteasy.adoc.po, 109, 154, 2280, 2728, 17%
guides/security-authorize-web-endpoints-reference.adoc.po, 127, 136, 2244, 2306, 3%
guides/cdi.adoc.po, 128, 130, 2236, 2238, 1%
guides/reactive-routes.adoc.po, 155, 165, 2186, 2217, 2%
guides/doc-reference.adoc.po, 206, 293, 2112, 2311, 9%
guides/security-openid-connect-multitenancy.adoc.po, 107, 136, 2109, 2377, 12%
guides/doc-contribute-docs-howto.adoc.po, 140, 142, 2037, 2039, 1%
guides/rabbitmq-reference.adoc.po, 199, 250, 2033, 2403, 16%
guides/deploying-to-openshift.adoc.po, 138, 143, 1950, 1958, 1%
guides/jreleaser.adoc.po, 61, 63, 1950, 1954, 1%
guides/security-webauthn.adoc.po, 88, 104, 1944, 2076, 7%
guides/security-authentication-mechanisms.adoc.po, 118, 155, 1941, 2188, 12%
guides/software-transactional-memory.adoc.po, 40, 44, 1935, 1942, 1%
guides/mutiny-primer.adoc.po, 124, 125, 1918, 1919, 1%
guides/telemetry-micrometer.adoc.po, 170, 194, 1898, 2410, 22%
guides/reactive-sql-clients.adoc.po, 162, 167, 1877, 1885, 1%
guides/rest-client.adoc.po, 97, 111, 1823, 1919, 6%
guides/extension-codestart.adoc.po, 132, 137, 1745, 1770, 2%
guides/cli-tooling.adoc.po, 142, 172, 1733, 2156, 20%
guides/scheduler-reference.adoc.po, 94, 97, 1707, 1711, 1%
guides/validation.adoc.po, 101, 115, 1693, 1780, 5%
guides/quarkus-reactive-architecture.adoc.po, 65, 66, 1657, 1658, 1%
guides/security-jwt-build.adoc.po, 104, 115, 1649, 1669, 2%
guides/rest-data-panache.adoc.po, 106, 109, 1610, 1613, 1%
guides/smallrye-health.adoc.po, 81, 95, 1603, 1678, 5%
guides/gcp-functions.adoc.po, 90, 95, 1599, 1619, 2%
guides/security-getting-started-tutorial.adoc.po, 99, 108, 1581, 1610, 2%
guides/kafka-schema-registry-avro.adoc.po, 79, 91, 1578, 1656, 5%
guides/smallrye-fault-tolerance.adoc.po, 72, 84, 1557, 1629, 5%
guides/duplicated-context.adoc.po, 71, 74, 1535, 1539, 1%
guides/funqy-knative-events.adoc.po, 65, 68, 1499, 1512, 1%
guides/container-image.adoc.po, 74, 76, 1460, 1462, 1%
guides/mailer-reference.adoc.po, 93, 98, 1448, 1470, 2%
guides/security-oidc-bearer-token-authentication.adoc.po, 70, 168, 1440, 3551, 60%
guides/class-loading-reference.adoc.po, 62, 64, 1436, 1440, 1%
guides/building-native-image.adoc.po, 63, 211, 1418, 4033, 65%
guides/deploying-to-google-cloud.adoc.po, 83, 86, 1396, 1402, 1%
guides/getting-started-testing.adoc.po, 54, 234, 1381, 5087, 73%
guides/opentelemetry.adoc.po, 113, 158, 1348, 1875, 29%
guides/platform.adoc.po, 51, 52, 1320, 1321, 1%
guides/writing-native-applications-tips.adoc.po, 42, 106, 1315, 2390, 45%
guides/security-jwt.adoc.po, 94, 307, 1299, 4234, 70%
guides/doc-create-tutorial.adoc.po, 94, 96, 1296, 1300, 1%
guides/smallrye-graphql-client.adoc.po, 46, 58, 1288, 1362, 6%
guides/extension-registry-user.adoc.po, 65, 65, 1283, 1283, 0%
guides/telemetry-opentracing-to-otel-tutorial.adoc.po, 114, 118, 1280, 1286, 1%
guides/vertx-reference.adoc.po, 101, 239, 1269, 3101, 60%
guides/funqy-gcp-functions.adoc.po, 72, 79, 1258, 1290, 3%
guides/getting-started-dev-services.adoc.po, 79, 87, 1250, 1295, 4%
guides/stork-kubernetes.adoc.po, 68, 76, 1247, 1268, 2%
guides/native-and-ssl.adoc.po, 87, 95, 1240, 1295, 5%
guides/hibernate-reactive-panache.adoc.po, 39, 152, 1220, 3020, 60%
guides/openapi-swaggerui.adoc.po, 80, 96, 1212, 1301, 7%
guides/transaction.adoc.po, 47, 102, 1205, 2355, 49%
guides/security-customization.adoc.po, 60, 63, 1176, 1179, 1%
guides/security-oidc-bearer-token-authentication-tutorial.adoc.po, 84, 99, 1170, 1289, 10%
guides/qute.adoc.po, 80, 85, 1161, 1202, 4%
guides/resteasy-reactive-migration.adoc.po, 90, 93, 1148, 1151, 1%
guides/kubernetes-client.adoc.po, 52, 57, 1122, 1136, 2%
guides/performance-measure.adoc.po, 67, 70, 1082, 1089, 1%
guides/elasticsearch.adoc.po, 61, 80, 1076, 1218, 12%
guides/spring-data-jpa.adoc.po, 70, 91, 1076, 1222, 12%
guides/grpc-service-implementation.adoc.po, 73, 73, 1074, 1074, 0%
guides/security-oauth2.adoc.po, 60, 79, 1069, 1205, 12%
guides/databases-dev-services.adoc.po, 65, 66, 1066, 1068, 1%
guides/hibernate-reactive.adoc.po, 66, 74, 1051, 1098, 5%
guides/extension-metadata.adoc.po, 52, 54, 1039, 1041, 1%
guides/kafka-reactive-getting-started.adoc.po, 46, 77, 1017, 1254, 19%
guides/spring-security.adoc.po, 71, 99, 1017, 1190, 15%
guides/pulsar-getting-started.adoc.po, 47, 76, 1007, 1218, 18%
guides/security-openid-connect-client.adoc.po, 53, 89, 1005, 1345, 26%
guides/command-mode-reference.adoc.po, 52, 60, 1001, 1049, 5%
guides/quartz.adoc.po, 71, 89, 996, 1108, 11%
guides/management-interface-reference.adoc.po, 60, 61, 984, 985, 1%
guides/_includes/smallrye-pulsar-consumer.adoc.po, 114, 119, 970, 975, 1%
guides/scripting.adoc.po, 59, 70, 955, 1021, 7%
guides/spring-data-rest.adoc.po, 88, 110, 947, 1094, 14%
guides/lifecycle.adoc.po, 53, 67, 944, 1032, 9%
guides/stork.adoc.po, 58, 68, 937, 965, 3%
guides/context-propagation.adoc.po, 66, 73, 930, 975, 5%
